2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | ============================================================
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       |   CCTV Supervisor — Initializing
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | ============================================================
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | Channels: [16, 17]
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | Display: True
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | RTSP Host: 172.16.0.187:554
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | Frame skip: 3
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | Violation duration: 60s
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | Confidence threshold: 0.5
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | Schedule: [AKTIF] Monitoring AKTIF | Senin | Selesai jam 16:00
2026-04-20 15:44:34 | INFO    | CCTVSupervisor       | Loading YOLO models...
2026-04-20 15:44:48 | INFO    | detector             | Loading YOLO11s-pose model for pose estimation...
2026-04-20 15:45:07 | INFO    | detector             | Pose model loaded successfully
2026-04-20 15:45:07 | INFO    | detector             | Loading YOLO11s model for object detection...
2026-04-20 15:45:24 | INFO    | detector             | Detection model loaded successfully
2026-04-20 15:45:24 | INFO    | CCTVSupervisor       | YOLO models loaded ✓
2026-04-20 15:45:24 | INFO    | CCTVSupervisor       | All components initialized ✓
2026-04-20 15:45:24 | INFO    | CCTVSupervisor       | Testing Telegram connection...
2026-04-20 15:45:25 | INFO    | notifier             | Telegram bot connected: @TjahajaBaruBot
2026-04-20 15:45:25 | INFO    | CCTVSupervisor       | Telegram connected ✓
2026-04-20 15:45:25 | INFO    | CCTVSupervisor       | Starting RTSP stream capture...
2026-04-20 15:45:25 | INFO    | stream_manager       | Starting capture for channel 16
2026-04-20 15:45:25 | INFO    | stream_manager       | [Channel 16] Connecting to rtsp://pooling:YamahaNo1@172.16.0.187:554/Streaming/Channels/162
2026-04-20 15:45:25 | INFO    | stream_manager       | Starting capture for channel 17
2026-04-20 15:45:25 | INFO    | stream_manager       | [Channel 17] Connecting to rtsp://pooling:YamahaNo1@172.16.0.187:554/Streaming/Channels/172
2026-04-20 15:45:25 | INFO    | CCTVSupervisor       | Waiting for streams to connect (5s)...
2026-04-20 15:45:26 | WARNING | stream_manager       | [Channel 16] Failed to open stream. Retrying in 5s...
2026-04-20 15:45:26 | WARNING | stream_manager       | [Channel 17] Failed to open stream. Retrying in 5s...
2026-04-20 15:45:30 | INFO    | CCTVSupervisor       | Streams connected: 0/2 — {16: False, 17: False}
2026-04-20 15:45:30 | INFO    | CCTVSupervisor       | ============================================================
2026-04-20 15:45:30 | INFO    | CCTVSupervisor       |   Monitoring Started
2026-04-20 15:45:30 | INFO    | CCTVSupervisor       | ============================================================
2026-04-20 15:45:31 | INFO    | stream_manager       | [Channel 16] Connecting to rtsp://pooling:YamahaNo1@172.16.0.187:554/Streaming/Channels/162
2026-04-20 15:45:31 | WARNING | stream_manager       | [Channel 16] Failed to open stream. Retrying in 5s...
2026-04-20 15:45:31 | INFO    | stream_manager       | [Channel 17] Connecting to rtsp://pooling:YamahaNo1@172.16.0.187:554/Streaming/Channels/172
2026-04-20 15:45:31 | WARNING | stream_manager       | [Channel 17] Failed to open stream. Retrying in 5s...
2026-04-20 15:45:36 | INFO    | stream_manager       | [Channel 16] Connecting to rtsp://pooling:YamahaNo1@172.16.0.187:554/Streaming/Channels/162
2026-04-20 15:45:36 | WARNING | stream_manager       | [Channel 16] Failed to open stream. Retrying in 5s...
2026-04-20 15:45:36 | INFO    | stream_manager       | [Channel 17] Connecting to rtsp://pooling:YamahaNo1@172.16.0.187:554/Streaming/Channels/172
2026-04-20 15:45:36 | WARNING | stream_manager       | [Channel 17] Failed to open stream. Retrying in 5s...
2026-04-20 15:45:41 | INFO    | stream_manager       | [Channel 16] Connecting to rtsp://pooling:YamahaNo1@172.16.0.187:554/Streaming/Channels/162
2026-04-20 15:45:41 | WARNING | stream_manager       | [Channel 16] Failed to open stream. Retrying in 5s...
